rank,model_3mm,n_features_3mm,model_2mm,n_features_2mm,cv_mae_3mm,cv_mae_2mm,feasible,q2,q0,margin2_GPR3mm,margin2_GPR2mm,margin0_GPR3mm,margin0_GPR2mm,score,f1_2,f1_0,recall_2,precision_2,recall_0,precision_0,overall_accuracy,autopass_rate,replan_rate,manual_rate
59,RandomForest,15,XGBoost,5,0.5575,2.2867,True,0.8,0.35,0.2968,1.9148,0.0324,-0.5338,0.8784,0.3272,0.5512,0.2,0.8986,0.4667,0.6731,0.4968,0.1113,0.0839,0.8048
60,XGBoost,5,RandomForest,15,0.5221,2.1605,True,0.8,0.2,0.3338,1.6032,-0.3338,-1.6032,0.8782,0.2473,0.631,0.1452,0.8333,0.7067,0.5699,0.4581,0.0871,0.15,0.7629
61,RandomForest,15,RandomForest,5,0.5575,2.1796,True,0.8,0.35,0.2968,1.771,0.0324,-0.3896,0.8775,0.3263,0.5512,0.2,0.8857,0.4667,0.6731,0.4952,0.1129,0.0839,0.8032
62,RandomForest,10,MLP,15,0.5287,2.8745,True,0.85,0.35,0.4392,2.9658,-0.0002,-1.0535,0.8722,0.3008,0.5714,0.1839,0.8261,0.5067,0.6552,0.4806,0.1113,0.0935,0.7952
63,MLP,15,RandomForest,5,0.6928,2.1796,True,0.8,0.45,0.519,1.771,-0.011,0.1533,0.8656,0.2725,0.5931,0.1613,0.8772,0.5733,0.6143,0.4742,0.0919,0.1129,0.7952
64,MLP,15,XGBoost,5,0.6928,2.2867,True,0.8,0.45,0.519,1.9148,-0.011,-0.0671,0.8624,0.2678,0.5946,0.1581,0.875,0.5867,0.6027,0.471,0.0903,0.1177,0.7919
65,Ridge,15,XGBoost,10,0.9528,2.1723,True,0.75,0.4,0.584,1.2966,0.0309,-0.2829,0.8603,0.3438,0.5166,0.2129,0.8919,0.52,0.5132,0.4758,0.1194,0.1226,0.7581
66,MLP,10,RandomForest,15,0.6694,2.1605,True,0.8,0.25,0.4644,1.6032,-0.3101,-1.1033,0.8557,0.2568,0.5989,0.1516,0.8393,0.7067,0.5196,0.4468,0.0903,0.1645,0.7452
67,RandomForest,5,RandomForest,15,0.5325,2.1605,True,0.8,0.2,0.3451,1.6032,-0.3451,-1.6032,0.8521,0.2521,0.6,0.1484,0.8364,0.72,0.5143,0.4435,0.0887,0.1694,0.7419
68,SVR,15,RandomForest,5,0.604,2.1796,True,0.8,0.8,0.4077,1.771,0.5002,1.8498,0.8466,0.2949,0.5517,0.1774,0.873,0.4267,0.7805,0.4919,0.1016,0.0661,0.8323
69,RandomForest,10,RandomForest,10,0.5287,2.1363,True,0.8,0.25,0.2711,1.7425,-0.1952,-1.1658,0.8375,0.2017,0.6358,0.1129,0.9459,0.64,0.6316,0.4645,0.0597,0.1226,0.8177
70,RandomForest,5,RandomForest,10,0.5325,2.1363,True,0.8,0.15,0.3451,1.7425,-0.4771,-2.2004,0.8338,0.1913,0.6425,0.1065,0.9429,0.8267,0.5254,0.4387,0.0565,0.1903,0.7532
71,XGBoost,10,RandomForest,15,0.5293,2.1605,True,0.8,0.15,0.3108,1.6032,-0.452,-2.1244,0.8331,0.2568,0.5763,0.1516,0.8393,0.68,0.5,0.4403,0.0903,0.1645,0.7452
72,XGBoost,15,RandomForest,10,0.5173,2.1363,True,0.8,0.2,0.2639,1.7425,-0.2639,-1.7425,0.8314,0.2017,0.6296,0.1129,0.9459,0.68,0.5862,0.4565,0.0597,0.1403,0.8
73,MLP,5,RandomForest,5,0.6296,2.1796,True,0.8,0.85,0.4574,1.771,0.619,2.3893,0.829,0.267,0.562,0.1581,0.8596,0.4533,0.7391,0.4806,0.0919,0.0742,0.8339
74,MLP,15,RandomForest,15,0.6928,2.1605,True,0.8,0.3,0.519,1.6032,-0.2414,-0.6083,0.828,0.2179,0.6102,0.1258,0.8125,0.72,0.5294,0.4371,0.0774,0.1645,0.7581
75,RandomForest,15,RandomForest,15,0.5575,2.1605,True,0.8,0.35,0.2968,1.6032,0.0324,-0.2078,0.8241,0.2616,0.5625,0.1548,0.8421,0.48,0.6792,0.4726,0.0919,0.0855,0.8226
76,XGBoost,5,RandomForest,10,0.5221,2.1363,True,0.8,0.2,0.3338,1.7425,-0.3338,-1.7425,0.8117,0.1808,0.631,0.1,0.9394,0.7067,0.5699,0.4468,0.0532,0.15,0.7968
77,SVR,5,RandomForest,15,0.5823,2.1605,True,0.8,0.7,0.4933,1.6032,0.2006,1.4897,0.8112,0.2616,0.5496,0.1548,0.8421,0.48,0.6429,0.4677,0.0919,0.0903,0.8177
