target,model,n_features,fold,mae_infold_selection,r2_infold_selection,mae_step6,r2_step6,delta_mae,delta_r2,selected_features
GPR2mm,SVR,10,9,1.800966,0.649942,1.537972,0.709666,0.262994,-0.059724,ArcCheck;LSV;PI;LTMCS;AvgFieldSize;CTV;ModFactor;Rx;Diff(RadCalc);Gan
GPR2mm,SVR,10,10,2.42696,0.706563,2.611849,0.549522,-0.184889,0.157041,ArcCheck;LSV;PI;LTMCS;AvgFieldSize;ModFactor;SAS10;Rx;Dose;CTV
GPR2mm,SVR,10,11,2.034522,0.619081,2.445962,0.497437,-0.411439,0.121644,PA_cm2;ArcCheck;PI;LTMCS;AvgFieldSize;Gan;AAV;Fx;ModFactor;MU
GPR2mm,SVR,10,12,2.408328,0.437505,2.525934,0.547727,-0.117606,-0.110222,LSV;ArcCheck;ModFactor;PTV;AvgFieldSize;PI;Diff(RadCalc);AAV;LT;Dose
GPR2mm,SVR,10,13,1.890132,0.618711,1.88548,0.623334,0.004652,-0.004623,ArcCheck;LSV;LT;ModFactor;PI;Gan;AFW;CTV;Rx;Diff(RadCalc)
GPR2mm,SVR,10,14,2.065932,0.691293,2.090678,0.707873,-0.024746,-0.01658,ArcCheck;LSV;PI;CTV;Gan;ModFactor;Rx;AAV;LT;AvgEquPathLength
GPR2mm,SVR,10,15,2.81834,0.545391,2.888532,0.505416,-0.070192,0.039975,ArcCheck;LSV;PI;Diff(RadCalc);SAS20;AAV;PMU;MU;Gan;Energy_10
GPR2mm,SVR,10,16,3.193849,-0.393621,2.852124,-0.164299,0.341725,-0.229323,LSV;ArcCheck;AvgFieldSize;LTMCS;PTV;PI;AFW;Diff(RadCalc);Rx;SAS10
GPR2mm,SVR,10,17,2.704515,0.566157,2.658386,0.603116,0.04613,-0.036959,LSV;ArcCheck;ModFactor;PI;Gan;LT;Rx;SAS5;Diff(RadCalc);AFW
GPR2mm,SVR,10,18,2.288908,0.581755,1.674069,0.836322,0.614839,-0.254567,ArcCheck;LSV;AvgFieldSize;ModFactor;PI;Gan;LT;MCSv(Python);AvgEquPathLength;SAS20
GPR2mm,SVR,10,19,2.078164,0.434198,2.513907,0.37454,-0.435743,0.059658,ArcCheck;PA_cm2;AvgFieldSize;CTV;Gan;PI;LT;ModFactor;MU;Rx
GPR2mm,SVR,10,20,2.222778,0.683686,1.983692,0.664984,0.239085,0.018702,ArcCheck;LSV;ModFactor;PI;Gan;LT;Diff(RadCalc);Rx;AFW;CTV
GPR2mm,SVR,10,21,2.112923,0.680115,2.147404,0.67541,-0.03448,0.004705,ArcCheck;PA_cm2;AvgFieldSize;LT;Gan;CTV;PI;Diff(RadCalc);ModFactor;EM
GPR2mm,SVR,10,22,2.565906,0.501612,2.56116,0.518835,0.004746,-0.017223,LSV;ArcCheck;AvgFieldSize;PI;Gan;CTV;ModFactor;SAS20;Dose;SAS5
GPR2mm,SVR,10,23,2.566555,-0.177393,2.499318,-0.126905,0.067237,-0.050488,LSV;ArcCheck;AvgFieldSize;PI;Diff(RadCalc);Gan;ModFactor;PTV;LT;AAV
GPR2mm,SVR,10,24,2.598902,0.524988,2.15497,0.764829,0.443932,-0.239841,LSV;ArcCheck;ModFactor;PI;AAV;PTV;Diff(RadCalc);Dose;EM;LT
