comparison,fpr,tpr,threshold_q
class2_vs_rest,0.2,0.6161290322580645,0.5530047113690432
class2_vs_rest,0.2,0.6193548387096774,0.5527181171109208
class2_vs_rest,0.2032258064516129,0.6193548387096774,0.5518090439079603
class2_vs_rest,0.2032258064516129,0.635483870967742,0.5451823990711115
class2_vs_rest,0.2129032258064516,0.635483870967742,0.5423332987406585
class2_vs_rest,0.2129032258064516,0.6387096774193548,0.5422738444920037
class2_vs_rest,0.2161290322580645,0.6387096774193548,0.5421168333082229
class2_vs_rest,0.2161290322580645,0.6419354838709678,0.5417154431037366
class2_vs_rest,0.21935483870967742,0.6419354838709678,0.540908078286938
class2_vs_rest,0.21935483870967742,0.6451612903225806,0.5398183178013869
class2_vs_rest,0.22258064516129034,0.6451612903225806,0.5378636769999534
class2_vs_rest,0.22258064516129034,0.6483870967741936,0.5364318735767968
class2_vs_rest,0.22580645161290322,0.6483870967741936,0.5357566311697933
class2_vs_rest,0.22580645161290322,0.6548387096774193,0.5341532954216671
class2_vs_rest,0.22903225806451613,0.6548387096774193,0.5336963587360251
class2_vs_rest,0.22903225806451613,0.6580645161290323,0.5334007505045291
class2_vs_rest,0.23548387096774193,0.6580645161290323,0.5320494065866785
class2_vs_rest,0.23548387096774193,0.6612903225806451,0.5295508565886715
class2_vs_rest,0.23870967741935484,0.6612903225806451,0.5288088172335241
class2_vs_rest,0.23870967741935484,0.667741935483871,0.5137181804750669
class2_vs_rest,0.24193548387096775,0.667741935483871,0.5136104629308534
class2_vs_rest,0.24193548387096775,0.6741935483870968,0.5076252893698919
class2_vs_rest,0.24516129032258063,0.6741935483870968,0.5059417901895874
class2_vs_rest,0.24516129032258063,0.6838709677419355,0.5010382247665914
class2_vs_rest,0.24838709677419354,0.6838709677419355,0.4991103719428599
class2_vs_rest,0.24838709677419354,0.6870967741935484,0.4924259551058703
class2_vs_rest,0.25161290322580643,0.6870967741935484,0.4922066862858644
class2_vs_rest,0.25161290322580643,0.6935483870967742,0.4915032130406331
class2_vs_rest,0.25483870967741934,0.6935483870967742,0.4913685919188813
class2_vs_rest,0.25483870967741934,0.6967741935483871,0.4908882733494409
class2_vs_rest,0.26129032258064516,0.6967741935483871,0.48701754039190276
class2_vs_rest,0.26129032258064516,0.7,0.4855145447537353
class2_vs_rest,0.2645161290322581,0.7,0.47905776623763735
class2_vs_rest,0.2645161290322581,0.7064516129032258,0.4784829107857389
class2_vs_rest,0.2709677419354839,0.7064516129032258,0.47734435129636077
class2_vs_rest,0.2709677419354839,0.7322580645161291,0.4730744362899545
class2_vs_rest,0.27419354838709675,0.7322580645161291,0.4672244360500922
class2_vs_rest,0.27419354838709675,0.7354838709677419,0.46675110955330723
class2_vs_rest,0.27741935483870966,0.7354838709677419,0.46606938964220024
class2_vs_rest,0.27741935483870966,0.7419354838709677,0.46488580625407516
class2_vs_rest,0.2806451612903226,0.7419354838709677,0.4647142055395495
class2_vs_rest,0.2806451612903226,0.7677419354838709,0.4520846987081364
class2_vs_rest,0.2838709677419355,0.7677419354838709,0.45166000017279095
class2_vs_rest,0.2838709677419355,0.7741935483870968,0.4467427323432051
class2_vs_rest,0.2903225806451613,0.7741935483870968,0.44629877967344744
class2_vs_rest,0.2903225806451613,0.7774193548387097,0.44382320274634157
class2_vs_rest,0.29354838709677417,0.7774193548387097,0.4386923857088036
class2_vs_rest,0.29354838709677417,0.7806451612903226,0.43763795102273356
class2_vs_rest,0.3,0.7806451612903226,0.43686342111011145
class2_vs_rest,0.3,0.7903225806451613,0.42461315461530247
class2_vs_rest,0.3032258064516129,0.7903225806451613,0.4192853419232317
class2_vs_rest,0.3032258064516129,0.7967741935483871,0.4165125933141329
class2_vs_rest,0.3096774193548387,0.7967741935483871,0.4158169247562059
class2_vs_rest,0.3096774193548387,0.8161290322580645,0.38953265623995914
class2_vs_rest,0.31290322580645163,0.8161290322580645,0.38886070317666327
class2_vs_rest,0.31290322580645163,0.8387096774193549,0.365654852836548
class2_vs_rest,0.3161290322580645,0.8387096774193549,0.3628379058569438
class2_vs_rest,0.3161290322580645,0.8419354838709677,0.36075996443268676
class2_vs_rest,0.3193548387096774,0.8419354838709677,0.35553238148718436
class2_vs_rest,0.3193548387096774,0.8709677419354839,0.3432160460475207
class2_vs_rest,0.3258064516129032,0.8709677419354839,0.33634153678317624
class2_vs_rest,0.3258064516129032,0.8774193548387097,0.3352833374339592
class2_vs_rest,0.33225806451612905,0.8774193548387097,0.31481432022641315
class2_vs_rest,0.33225806451612905,0.8838709677419355,0.30957708531401856
class2_vs_rest,0.33548387096774196,0.8838709677419355,0.3048227232280873
