target,model,n_features,fold,r2,mae,rmse,best_params
GPR3mm,XGBoost,5,8,0.7757527986384152,0.5085776367187498,0.9248613544059614,"{""learning_rate"": 0.03, ""max_depth"": 3, ""subsample"": 1.0}"
GPR3mm,XGBoost,5,9,-2.69255367241705,0.698841985066732,1.4308220583461724,"{""learning_rate"": 0.03, ""max_depth"": 5, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,10,0.9271687112767149,0.38823999023437467,0.515897276895212,"{""learning_rate"": 0.03, ""max_depth"": 3, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,11,0.8323917077185281,0.4517088012695314,0.832603084834646,"{""learning_rate"": 0.03, ""max_depth"": 3, ""subsample"": 1.0}"
GPR3mm,XGBoost,5,12,0.36116831461284327,0.6922692871093755,1.241314635841301,"{""learning_rate"": 0.03, ""max_depth"": 2, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,13,0.41989084544444066,0.5121629638671874,1.3989681677177206,"{""learning_rate"": 0.1, ""max_depth"": 5, ""subsample"": 1.0}"
GPR3mm,XGBoost,5,14,0.10776136360322908,0.5581673940022789,1.2692891154525165,"{""learning_rate"": 0.03, ""max_depth"": 3, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,15,0.5642036893525265,0.6520360107421862,1.471752048233099,"{""learning_rate"": 0.1, ""max_depth"": 3, ""subsample"": 1.0}"
GPR3mm,XGBoost,5,16,0.784204118417337,0.43489611816406354,0.7862558302623853,"{""learning_rate"": 0.03, ""max_depth"": 3, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,17,0.8741188250671477,0.44469805908203114,0.6406724987294614,"{""learning_rate"": 0.03, ""max_depth"": 2, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,18,0.9134366542959165,0.32595373535156286,0.43527180128732296,"{""learning_rate"": 0.1, ""max_depth"": 3, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,19,-0.11574029923131501,0.5947422027587889,1.4756534656437648,"{""learning_rate"": 0.1, ""max_depth"": 2, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,20,0.8649226796013046,0.3633283691406251,0.5437159015229326,"{""learning_rate"": 0.03, ""max_depth"": 3, ""subsample"": 1.0}"
GPR3mm,XGBoost,5,21,0.4483003765853403,0.6612705078125015,1.535925645896014,"{""learning_rate"": 0.03, ""max_depth"": 5, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,22,0.9023761930608694,0.373673034667969,0.5417875051380082,"{""learning_rate"": 0.03, ""max_depth"": 3, ""subsample"": 1.0}"
GPR3mm,XGBoost,5,23,0.1251817679612368,0.6501071166992187,1.3882375767655288,"{""learning_rate"": 0.1, ""max_depth"": 3, ""subsample"": 1.0}"
GPR3mm,XGBoost,5,24,0.5885469543973985,0.5447466532389326,1.265465289115859,"{""learning_rate"": 0.03, ""max_depth"": 3, ""subsample"": 1.0}"
GPR3mm,MLP,5,0,0.6709609528938604,0.6361805055814671,0.8363801465379843,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [16]}"
GPR3mm,MLP,5,1,0.4797659292428579,0.40584860626992453,0.5226235478479686,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,2,0.9196880199527653,0.40488331756342405,0.4932730630369205,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,3,0.5269496315293467,0.8951775673407115,1.6589206803264813,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,4,0.6853060435846849,0.6122666966881413,0.8718437725808915,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,5,0.21371444832619102,0.4452125822173008,0.5741832344074682,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,6,0.526530880986441,0.9405272347957788,1.7026523137297762,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,7,0.6670599372494841,0.7103216942201601,1.0628259711260126,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,8,0.83284998702942,0.49383124413891494,0.7984841948811386,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,9,0.1555854966598511,0.5189825988616832,0.6842267681194918,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [16]}"
GPR3mm,MLP,5,10,0.8649222585081275,0.5821072909314364,0.702580567289221,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,11,0.7237011517513452,0.6969027166420193,1.0690051619877416,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,12,0.47806660265798484,0.809037682015516,1.1220086249173578,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [16]}"
GPR3mm,MLP,5,13,0.3610001718357666,0.5996087586291378,1.4682612724846915,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,14,0.2721184815877671,0.7642927926102564,1.1464375156016304,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,15,0.8507220496876247,0.534184018938152,0.8613719118033807,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,16,0.4658710891705723,0.9416015333958034,1.236987598763162,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [16]}"
GPR3mm,MLP,5,17,0.8576441392552063,0.5344983446183307,0.6813078045597245,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [16]}"
GPR3mm,MLP,5,18,0.8730814927985826,0.41443119295317105,0.527055067697647,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,19,-0.13981023588352892,0.6382439281508455,1.4914857168941837,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [16]}"
GPR3mm,MLP,5,20,0.6757818189197465,0.6055520499726589,0.8423634191225882,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,21,0.4052118631334104,0.7817070302520847,1.5947771233754076,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,22,0.8189092163162609,0.5495906714820222,0.7379030227121504,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [32]}"
GPR3mm,MLP,5,23,0.8070196932729345,0.5277651074172787,0.6520206930706756,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [16]}"
GPR3mm,MLP,5,24,0.6951094027647265,0.6978364218395464,1.0893366416080565,"{""model__alpha"": 1.0, ""model__hidden_layer_sizes"": [16]}"
GPR3mm,Dummy,10,0,-0.04763224121914722,1.0275555555555553,1.492397193349026,{}
GPR3mm,Dummy,10,1,-0.8522779890803518,0.9426262626262849,0.9861492782225837,{}
GPR3mm,Dummy,10,2,-0.006737203098291511,1.1161212121212105,1.7464465241419747,{}
GPR3mm,Dummy,10,3,-0.3394414637872267,1.7870707070707055,2.791475355386212,{}
GPR3mm,Dummy,10,4,-0.03335322690779319,1.02950000000001,1.5798609643467596,{}
GPR3mm,Dummy,10,5,-1.3925275385732294,0.954181818181824,1.0015873535611366,{}
GPR3mm,Dummy,10,6,-0.1471896162659181,1.5760000000000058,2.650316542939298,{}
GPR3mm,Dummy,10,7,-0.006875035320298872,1.181818181818183,1.848276391624022,{}
GPR3mm,Dummy,10,8,-0.013613869013502589,1.2283636363636372,1.966298233220257,{}
GPR3mm,Dummy,10,9,-0.6140974354157309,0.8705833333333466,0.945991190938562,{}
GPR3mm,Dummy,10,10,-0.0004943933230106001,1.1578181818181787,1.9121042543016427,{}
GPR3mm,Dummy,10,11,-0.0443486897973735,1.3280808080808095,2.0783229251013764,{}
GPR3mm,Dummy,10,12,-0.002192892287872228,1.0021818181818207,1.554763408431761,{}
GPR3mm,Dummy,10,13,-0.005231271556933592,1.218909090909097,1.8415604035508981,{}
GPR3mm,Dummy,10,14,-0.041426150162971576,0.9939166666666696,1.3713057038214842,{}
GPR3mm,Dummy,10,15,-0.059434356133371447,1.4215757575757635,2.2947210549272694,{}
GPR3mm,Dummy,10,16,-0.0013726139918870395,1.1327676767676786,1.6937143137839588,{}
GPR3mm,Dummy,10,17,-0.005399387715634418,1.135272727272736,1.8106103404990046,{}
GPR3mm,Dummy,10,18,-0.026994682074800824,1.031111111111104,1.499262274799125,{}
GPR3mm,Dummy,10,19,-0.07476891545687625,0.9853333333333367,1.4483061370672548,{}
GPR3mm,Dummy,10,20,-0.000486979503527607,0.9644444444444411,1.479743826361142,{}
GPR3mm,Dummy,10,21,-0.0024630846072579704,1.3964444444444468,2.07039420154246,{}
GPR3mm,Dummy,10,22,-0.0007508652512144831,1.0974545454545461,1.734658954844874,{}
GPR3mm,Dummy,10,23,-0.03639385110532123,1.0075151515151486,1.511009854545164,{}
GPR3mm,Dummy,10,24,-0.007498338411029426,1.231250000000004,1.9802146348312852,{}
GPR3mm,Ridge,10,0,0.5789808688952389,0.7767060122248489,0.9460866431900545,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,1,-0.21603381382622144,0.6956560609887384,0.7990287460850819,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,2,0.791524150273896,0.5662334978748993,0.7947400686920143,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,3,0.07488904861865098,1.5108563146082452,2.3198977285122164,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,10,4,0.3927663483584741,0.8357951908933335,1.2110787507362615,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,5,-1.1063886573664785,0.7556158650399039,0.9397873900405003,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,6,0.12486966616859374,1.400262497307048,2.314816197185213,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,10,7,0.6964134718077917,0.8230193266520445,1.0148932815082214,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,8,0.692574395868526,0.8256721664067544,1.0828869859773431,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,9,-0.44808444495139543,0.7668324441161113,0.8960230104382212,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,10,0.7002297767037327,0.7982654990505705,1.0466427846785118,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,11,0.5845603160422648,0.9927259961857118,1.3108236085946863,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,12,0.44088625041951146,0.8530729491649793,1.1612847902164816,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,13,0.28632069138686833,0.8578428507315556,1.551688444485842,"{""model__alpha"": 1.0}"
GPR3mm,Ridge,10,14,0.5507325918447032,0.7539794721674706,0.9006841084390145,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,15,0.6115062830731894,0.9446449290696103,1.3895842209147087,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,16,0.5747679718553336,0.944076552497661,1.1037107861115796,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,17,0.7044185307716844,0.7793365831756273,0.981735035046955,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,18,0.6030978899986439,0.6891124378551291,0.9320414345770305,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,19,-0.4570959379958177,1.1304957634713109,1.6863468125868541,"{""model__alpha"": 1.0}"
GPR3mm,Ridge,10,20,0.3954617012308749,0.9833816368701708,1.1502512820105601,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,21,0.19714117686496502,1.0299201220858925,1.8528422295828142,"{""model__alpha"": 100.0}"
GPR3mm,Ridge,10,22,0.6284258449156812,0.9196640958950775,1.056997267887221,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,23,0.6096863240511657,0.6702875937851889,0.9272818668490502,"{""model__alpha"": 10.0}"
GPR3mm,Ridge,10,24,0.6342363479549871,0.8113680651086407,1.193137152216846,"{""model__alpha"": 10.0}"
GPR3mm,SVR,10,0,0.5519263513696413,0.6295984303045139,0.9760109670540418,"{""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": 0.03}"
GPR3mm,SVR,10,1,0.49092291321832215,0.4363879850192791,0.5169890602425391,"{""model__C"": 10, ""model__epsilon"": 0.5, ""model__gamma"": ""scale""}"
GPR3mm,SVR,10,2,0.907781279918962,0.4071331104563268,0.5285751946086746,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}"
